Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Albania,ALB,..,..,..,..,..,10.3,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Algeria,DZA,..,..,..,..,6.7,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Angola,AGO,..,44.2,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Argentina,ARG,..,11.2,5.5,3.7,2.8,2.8,2.6,2.9,..,2.4,2.1,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Armenia,ARM,..,..,20,20.3,19.1,17.7,17.1,16.7,14.8,14.2,14.4,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Australia,AUS,..,..,..,0.5,..,..,..,0.8,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Austria,AUT,..,..,0.7,0.5,0.6,0.7,0.3,0.3,0.7,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Bangladesh,BGD,..,51.4,..,43.4,..,..,..,..,..,39.2,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Belarus,BLR,..,24.2,1,0.6,0.4,0.2,0.1,0.1,0.1,0.1,0.1,..
